"File","Lines","HasTOC","HasDeepSection","HasPlaceholderDeep","HasExamples","HasSummary","IsMinimal"
"16_Embedded_AI_Agents\06_C_Frameworks\README.md","239","No","Yes","No","No","No","No"
"16_Embedded_AI_Agents\07_Hardware_Acceleration\README.md","239","No","Yes","No","No","No","No"
"16_Embedded_AI_Agents\03_AI_Agent_Runtime\README.md","239","No","Yes","No","No","No","No"
"09_Data_Structures_Algorithms\02_Fundamental_Algorithms\README.md","239","No","Yes","No","No","No","No"
"15_Memory_Safe_Languages\04_Decision_Frameworks\README.md","239","No","Yes","No","No","No","No"
"15_Memory_Safe_Languages\README.md","239","No","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\05_Computational_Complexity\README.md","240","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\18_FPGA_Labs\code\lab5\README.md","240","No","Yes","No","No","No","No"
"15_Memory_Safe_Languages\03_Industry_Cases\README.md","240","No","Yes","No","No","No","No"
"16_Embedded_AI_Agents\01_TinyML_Fundamentals\README.md","240","No","Yes","No","No","No","No"
"16_Embedded_AI_Agents\02_LLMs_on_Edge\README.md","240","No","Yes","No","No","No","No"
"16_Embedded_AI_Agents\09_Security_Reliability\README.md","240","No","Yes","No","No","No","No"
"17_Ada_SPARK\02_SPARK_Verification\README.md","240","No","Yes","No","No","No","No"
"01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2023\tools\docs\README.md","242","No","Yes","No","No","No","No"
"06_Thinking_Representation\01_Mind_Maps\01_Knowledge_System_MindMap.md","244","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\18_FPGA_Labs\code\lab6\README.md","245","No","Yes","No","No","No","No"
"01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2025\tools\docs\README.md","249","No","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\06_TLA_Plus\01_TLA_Introduction.md","250","No","Yes","No","No","No","No"
"01_Core_Knowledge_System\08_Application_Domains\README.md","250","Yes","Yes","No","No","No","No"
"06_Thinking_Representation\02_Multidimensional_Matrix\02_Core_Concepts_Comprehensive_Matrix.md","252","No","Yes","No","No","No","No"
"06_Thinking_Representation\09_Bloom_Taxonomy\README.md","255","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\10_ISA_Machine_Code\06_Control_Unit_Design\README.md","255","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\18_FPGA_Labs\code\lab1\README.md","257","No","Yes","No","No","No","No"
"09_Data_Structures_Algorithms\01_Fundamental_Data_Structures\README.md","257","No","Yes","No","No","No","No"
"01_Core_Knowledge_System\02_Core_Layer\README.md","258","Yes","Yes","No","No","No","No"
"19_Real_Time_Systems\README.md","259","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\18_FPGA_Labs\code\lab2\README.md","261","No","Yes","No","No","No","No"
"17_Ada_SPARK\01_Ada_Basics\README.md","263","No","Yes","No","No","No","No"
"17_Ada_SPARK\05_Case_Studies\README.md","263","No","Yes","No","No","No","No"
"11_Machine_Learning_C\README.md","265","No","Yes","No","No","No","No"
"17_Ada_SPARK\07_Decision_Trees\README.md","266","No","Yes","No","No","No","No"
"14_Video_Tutorials\README.md","266","No","Yes","No","No","No","No"
"17_Ada_SPARK\03_Ada_C_Interoperability\README.md","266","No","Yes","No","No","No","No"
"16_Embedded_AI_Agents\05_Case_Studies\README.md","266","No","Yes","No","No","No","No"
"17_Ada_SPARK\04_Safety_Standards\README.md","266","No","Yes","No","No","No","No"
"17_Ada_SPARK\08_Comparison_Matrices\README.md","267","No","Yes","No","No","No","No"
"16_Embedded_AI_Agents\08_Real_Time_AI\README.md","268","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\18_FPGA_Labs\reports\README.md","268","No","Yes","No","No","No","No"
"01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2023\tools\docs\AUDIT_LOG.md","269","No","Yes","No","No","No","No"
"18_Robotics_Physical_Control\README.md","269","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\19_Hardware_Debugging\README.md","274","No","Yes","No","No","No","No"
"17_Ada_SPARK\06_Migration_from_C\README.md","274","No","Yes","No","No","No","No"
"03_System_Technology_Domains\11_In_Memory_Database\README.md","276","No","Yes","No","No","No","No"
"01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2023\tools\docs\MISRA_COMPLIANCE.md","277","No","Yes","No","No","No","No"
"06_Thinking_Representation\01_Decision_Trees\13_Debugging_Master_Tree.md","278","No","Yes","No","No","No","No"
"01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2025\tools\docs\MISRA_COMPLIANCE.md","279","No","Yes","No","No","No","No"
"01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2023\tools\docs\DEVIATIONS.md","283","No","Yes","No","No","No","No"
"06_Thinking_Representation\10_Concept_Maps\README.md","284","No","Yes","No","No","No","No"
"01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2023\tools\README.md","284","No","Yes","No","No","No","No"
"00_VERSION_TRACKING\reports\README.md","284","No","Yes","No","No","No","No"
"16_Embedded_AI_Agents\README.md","289","No","Yes","No","No","No","No"
"17_Ada_SPARK\05_Case_Studies\01_SPARK_Safe_Stack.md","293","No","Yes","No","No","No","No"
"01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2025\tools\docs\AUDIT_LOG.md","294","No","Yes","No","No","No","No"
"09_Data_Structures_Algorithms\??????? (Data Structures & Algorithms).md","298","No","Yes","No","No","No","No"
"07_Modern_Toolchain\03_CI_CD_DevOps\03_GitLab_CI_C.md","303","No","Yes","No","No","No","No"
"01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2025\MISRA_C_2025_Changes_Summary.md","306","Yes","Yes","No","No","No","No"
"06_Thinking_Representation\01_Decision_Trees\11_Security_Decision_Framework.md","308","No","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\README.md","310","Yes","Yes","No","No","No","No"
"01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2025\00_MISRA_C_2025_Index.md","311","No","Yes","No","No","No","No"
"04_Industrial_Scenarios\README.md","317","Yes","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\05_Lean_4\README.md","318","No","Yes","No","No","No","No"
"06_Thinking_Representation\00_GLOBAL_ARCHITECTURE_MAP.md","320","No","Yes","No","No","No","No"
"01_Core_Knowledge_System\04_Standard_Library_Layer\README.md","320","Yes","Yes","No","No","No","No"
"07_Modern_Toolchain\04_Package_Management\04_Dependency_Management_Best_Practices.md","322","No","Yes","No","No","No","No"
"06_Thinking_Representation\09_State_Machines\01_Core_Concept_State_Machines.md","325","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\18_FPGA_Labs\code\README.md","327","Yes","Yes","No","No","No","No"
"10_WebAssembly_C\README.md","334","No","Yes","No","No","No","No"
"06_Thinking_Representation\00_MULTI_DIMENSIONAL_FRAMEWORK.md","340","No","Yes","No","No","No","No"
"06_Thinking_Representation\README.md","340","Yes","Yes","No","No","No","No"
"06_Thinking_Representation\01_Decision_Trees\12_Performance_Optimization_Tree.md","341","No","Yes","No","No","No","No"
"06_Thinking_Representation\10_Concept_Maps\02_Pointer_Concept_Map.md","344","No","Yes","No","No","No","No"
"Zig\Zig_Compiler_Internals.md","345","No","Yes","No","No","Yes","No"
"01_Core_Knowledge_System\05_Engineering\01_Build_System\01_Makefile.md","347","No","Yes","No","No","No","No"
"06_Thinking_Representation\07_Knowledge_Graph\06_Concept_Relationship_Network.md","347","No","Yes","No","No","No","No"
"TOOLCHAIN_IMPROVEMENT_SUMMARY.md","348","No","Yes","No","No","No","No"
"Zig\Zig_Master_Guide.md","351","No","Yes","No","No","No","No"
"12_Practice_Exercises\README.md","351","Yes","Yes","No","No","No","No"
"06_Thinking_Representation\10_Concept_Maps\03_Memory_Model_Concept_Map.md","355","No","Yes","No","No","No","No"
"06_Thinking_Representation\10_Concept_Maps\04_Type_System_Concept_Map.md","355","No","Yes","No","No","No","No"
"06_Thinking_Representation\09_Bloom_Taxonomy\06_Evaluation_Rubrics.md","357","No","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\05_Lean_4\02_Dependent_Type_Theory.md","358","No","Yes","No","No","No","No"
"03_System_Technology_Domains\README.md","361","Yes","Yes","No","No","No","No"
"06_Thinking_Representation\03_Mind_Maps\README.md","362","No","Yes","No","No","No","No"
"00_VERSION_TRACKING\MISRA_C_2025_Update_Plan.md","367","No","Yes","No","No","No","No"
"08_Zig_C_Connection\07_Real_World_Migration_Cases\README.md","367","No","Yes","No","No","No","No"
"01_Core_Knowledge_System\README.md","370","Yes","Yes","No","No","No","No"
"06_Thinking_Representation\10_Concept_Maps\01_Concept_Mapping_Guide.md","372","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\README.md","373","Yes","Yes","No","No","No","No"
"08_Zig_C_Connection\05_Migration_Methodology\03_Performance_Comparison_Framework.md","374","Yes","Yes","No","No","No","No"
"00_VERSION_TRACKING\C_Standards_Roadmap.md","376","Yes","Yes","No","No","No","No"
"07_Modern_Toolchain\01_IDE_Editors\06_IDE_Comparison_Matrix.md","382","No","Yes","No","No","No","No"
"06_Thinking_Representation\06_Index\01_Core_Concepts_Index.md","385","No","Yes","No","No","No","No"
"08_Zig_C_Connection\README.md","387","Yes","Yes","No","No","No","No"
"06_Thinking_Representation\03_Decision_Trees\01_Learning_Path_Decision_Tree.md","391","No","Yes","No","No","No","No"
"06_Thinking_Representation\05_Concept_Mappings\05_C_Language_Knowledge_Graph.md","396","No","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\05_Lean_4\04_C_Verification_Lean.md","398","No","Yes","No","No","No","No"
"00_VERSION_TRACKING\CISA_CRA_Compliance_2026.md","399","Yes","Yes","No","No","No","No"
"15_Memory_Safe_Languages\01_Rust_vs_C\README.md","399","No","Yes","No","No","No","No"
"08_Zig_C_Connection\05_Migration_Methodology\02_Safety_Improvement_Metrics.md","402","Yes","Yes","No","No","No","No"
"06_Thinking_Representation\01_Decision_Trees\04_Formal_Proof_Decision_Tree.md","405","No","Yes","No","No","No","No"
"06_Thinking_Representation\05_Concept_Mappings\07_Topic_Dependency_Graph.md","416","No","Yes","No","No","No","No"
"17_Ada_SPARK\05_Case_Studies\02_SPARK_Bounded_Buffer.md","420","No","Yes","No","No","No","No"
"07_Modern_Toolchain\README.md","420","No","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\03_Homotopy_Type_Theory.md","422","No","Yes","No","No","Yes","No"
"00_VERSION_TRACKING\Expansion_Summary_2026-03-14.md","429","Yes","Yes","No","No","No","No"
"17_Ada_SPARK\04_Safety_Standards\01_DO_178C_with_Ada.md","433","No","Yes","No","No","No","No"
"08_Zig_C_Connection\01_Type_System_Mapping\03_Function_Pointer_Compatibility.md","434","No","Yes","No","No","No","No"
"06_Thinking_Representation\01_Decision_Trees\10_Compilation_Error_Diagnosis_Tree.md","437","No","Yes","No","No","No","No"
"Zig\decision_trees\README.md","444","No","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\02_Algebraic_Topology\03_Homotopy_Type_Theory.md","450","Yes","Yes","No","No","No","No"
"07_Modern_Toolchain\01_IDE_Editors\04_Zed_Editor.md","453","No","Yes","No","No","No","No"
"Zig\decision_trees\Learning_Path_Decision_Tree.md","455","No","Yes","No","No","No","No"
"17_Ada_SPARK\02_SPARK_Verification\01_SPARK_Overview.md","458","No","Yes","No","No","No","No"
"07_Modern_Toolchain\01_IDE_Editors\05_Emacs_Config.md","460","No","Yes","No","No","No","No"
"08_Zig_C_Connection\04_Translation_Validation\03_Semantic_Preservation_Proofs.md","460","Yes","Yes","No","No","No","No"
"KNOWLEDGE_GRAPH.md","486","No","Yes","No","No","No","No"
"17_Ada_SPARK\04_Safety_Standards\02_EN_50128.md","494","No","Yes","No","No","No","No"
"06_Thinking_Representation\09_Bloom_Taxonomy\01_Bloom_Overview.md","500","No","Yes","No","No","No","No"
"06_Thinking_Representation\05_Concept_Mappings\06_Standards_Mapping.md","503","No","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\05_Lean_4\03_Tactics_Proofs.md","503","No","Yes","No","No","No","No"
"06_Thinking_Representation\10_Concept_Maps\07_Pointer_Arithmetic_Concept_Map.md","503","No","Yes","No","No","No","No"
"06_Thinking_Representation\10_Concept_Maps\05_Concurrency_Concept_Map.md","506","No","Yes","No","No","No","No"
"17_Ada_SPARK\02_SPARK_Verification\02_Proof_Techniques.md","520","No","Yes","No","No","No","No"
"00_VERSION_TRACKING\Zig_Roadmap_Tracking.md","521","Yes","Yes","No","No","No","No"
"Zig\formal_models\Core_Concepts_Definitions.md","523","No","Yes","No","No","No","No"
"06_Thinking_Representation\03_Decision_Trees\02_Learning_Path_Master_Tree.md","526","No","Yes","No","No","No","No"
"07_Modern_Toolchain\03_CI_CD_DevOps\01_GitHub_Actions_C.md","533","No","Yes","No","No","No","No"
"06_Thinking_Representation\07_Knowledge_Graph\02_Learning_Paths.md","541","No","Yes","No","No","No","No"
"07_Modern_Toolchain\01_IDE_Editors\02_Neovim_Modern.md","547","No","Yes","No","No","No","No"
"Zig\matrices\Language_Comparison_Matrix.md","554","No","Yes","No","No","Yes","No"
"Zig\formal_models\README.md","562","No","Yes","No","No","No","No"
"06_Thinking_Representation\05_Concept_Mappings\02_Compiler_Phases_Map.md","565","No","Yes","No","No","No","No"
"17_Ada_SPARK\01_Ada_Basics\04_Exceptions_Contracts.md","567","No","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\01_Formal_Semantics\06_Operational_Semantics_Formal.md","582","Yes","Yes","No","No","No","No"
"Zig\visualizations\Zig_Knowledge_MindMap.md","590","No","Yes","No","No","No","No"
"Zig\2026_latest\README.md","590","No","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\01_Complexity_Classes.md","595","No","Yes","No","No","No","No"
"Zig\visualizations\README.md","597","No","Yes","No","No","No","No"
"Zig\Zig_Design_Patterns.md","600","No","Yes","No","No","No","No"
"07_Modern_Toolchain\04_Package_Management\01_Conan_Package_Manager.md","609","No","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\05_Type_Semantics.md","610","No","Yes","No","No","No","No"
"06_Thinking_Representation\10_Concept_Maps\09_Memory_Allocation_Concept_Map.md","613","No","Yes","No","No","No","No"
"17_Ada_SPARK\07_Decision_Trees\01_Ada_Task_Scheduling_Debug.md","613","No","Yes","No","No","No","No"
"Zig\Zig_Network_Programming.md","627","No","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\01_Formal_Semantics\04_Mathematical_Foundations.md","630","Yes","Yes","No","No","Yes","No"
"06_Thinking_Representation\10_Concept_Maps\10_Error_Handling_Concept_Map.md","631","No","Yes","No","No","No","No"
"15_Memory_Safe_Languages\01_Rust_vs_C\05_Memory_Safety_Statistics.md","634","No","Yes","No","No","No","No"
"07_Modern_Toolchain\04_Package_Management\03_xrepo_Xmake.md","642","No","Yes","No","No","No","No"
"15_Memory_Safe_Languages\01_Rust_vs_C\04_C_vs_Rust_Decision_Framework.md","656","No","Yes","No","No","No","No"
"06_Thinking_Representation\10_Concept_Maps\06_Compilation_Process_Map.md","659","No","Yes","No","No","No","No"
"06_Thinking_Representation\09_Bloom_Taxonomy\02_Memory_Level_Content.md","661","No","Yes","No","No","No","No"
"06_Thinking_Representation\01_Mind_Maps\README.md","677","Yes","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\01_Formal_Semantics\07_C_Language_Formal_Specification.md","684","Yes","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\04_Dependent_Types.md","700","No","Yes","No","No","Yes","No"
"06_Thinking_Representation\10_Concept_Maps\08_Standard_Library_Concept_Map.md","705","No","Yes","No","No","No","No"
"17_Ada_SPARK\04_Safety_Standards\03_ISO_26262_Ada.md","716","No","Yes","No","No","No","No"
"Zig\Zig_WebAssembly.md","729","No","Yes","No","No","No","No"
"14_Video_Tutorials\03_Interactive_Exercises\Online_Exercise_Platform_Spec.md","739","No","Yes","No","No","No","No"
"06_Thinking_Representation\08_Index\01_Global_Index.md","743","No","Yes","No","No","No","No"
"17_Ada_SPARK\05_Case_Studies\03_Boeing_787_DAL_A.md","750","No","Yes","No","No","No","No"
"Zig\2026_latest\Zig_2026_Roadmap.md","761","No","Yes","No","No","No","No"
"03_System_Technology_Domains\03_Unsafe_Rust_Patterns.md","764","Yes","Yes","No","No","Yes","No"
"14_Video_Tutorials\04_Video_Production_Guide\Video_Production_Best_Practices.md","767","No","Yes","No","No","No","No"
"15_Memory_Safe_Languages\01_Rust_vs_C\03_Linux_Kernel_Rust_Integration.md","785","No","Yes","No","No","No","No"
"Zig\Zig_Testing_Debugging.md","786","No","Yes","No","No","No","No"
"06_Thinking_Representation\09_Bloom_Taxonomy\07_Creation_Projects.md","788","No","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\03_Verification_Energy\README.md","841","Yes","Yes","No","No","No","No"
"04_Industrial_Scenarios\15_Industrial_Communication\README.md","842","Yes","Yes","No","No","No","No"
"07_Modern_Toolchain\02_Build_Systems_Modern\02_Meson_Build.md","888","No","Yes","No","No","No","No"
"Zig\Zig_Machine_Learning.md","933","No","Yes","No","No","No","No"
"Zig\Zig_Python_Binding.md","944","No","Yes","No","No","No","No"
"Zig\Zig_Build_System.md","947","No","Yes","No","No","No","No"
"07_Modern_Toolchain\03_CI_CD_DevOps\02_Docker_C_Development.md","957","No","Yes","No","No","No","No"
"15_Memory_Safe_Languages\01_Rust_vs_C\08_Incremental_Migration_Guide.md","965","No","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\06_TLA_Plus\03_Model_Checking.md","971","No","Yes","No","No","No","No"
"Zig\Zig_Distributed_Systems.md","971","No","Yes","No","No","No","No"
"Zig\Zig_Security_Cryptography.md","979","No","Yes","No","No","No","No"
"Zig\Zig_Learning_Paths.md","980","No","Yes","No","No","Yes","No"
"14_Video_Tutorials\03_Interactive_Exercises\Exercise_Database_Schema.md","982","No","Yes","No","No","No","No"
"Zig\Zig_Package_Ecosystem.md","983","No","Yes","No","No","No","No"
"Zig\Zig_GUI_Development.md","988","No","Yes","No","No","No","No"
"06_Thinking_Representation\09_Bloom_Taxonomy\04_Application_Exercises.md","1004","No","Yes","No","No","No","No"
"06_Thinking_Representation\06_Learning_Paths\01_Beginner_to_Advanced.md","1007","No","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\06_Standard_Library_Physics\README.md","1025","Yes","Yes","No","No","No","No"
"Zig\Zig_Performance_Optimization.md","1026","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\10_ISA_Machine_Code\06_Control_Unit_Design\03_x86_Microcode.md","1037","No","Yes","No","No","No","No"
"07_Modern_Toolchain\02_Build_Systems_Modern\04_Bazel_C_Projects.md","1048","No","Yes","No","No","No","No"
"Zig\Zig_Database_Advanced.md","1051","No","Yes","No","No","No","No"
"14_Video_Tutorials\00_Video_Course_Outline.md","1054","No","Yes","No","No","No","No"
"15_Memory_Safe_Languages\04_Decision_Frameworks\01_Language_Selection_Guide.md","1054","Yes","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\06_TLA_Plus\02_PlusCal_Language.md","1062","No","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\05_Lean_4\07_Lean_Mathlib_Overview.md","1085","No","Yes","No","No","No","No"
"06_Thinking_Representation\09_Bloom_Taxonomy\03_Understanding_Checks.md","1106","No","Yes","No","No","No","No"
"05_Deep_Structure_MetaPhysics\05_Lean_4\06_Lean_Proof_Examples.md","1111","No","Yes","No","No","No","No"
"03_System_Technology_Domains\03_Multi_Raft.md","1114","No","Yes","No","No","No","No"
"Zig\Zig_Embedded_Systems.md","1126","No","Yes","No","No","No","No"
"Zig\Zig_Concurrency_Async.md","1127","No","Yes","No","No","No","No"
"07_Modern_Toolchain\05_Code_Quality_Toolchain\01_clang_format_Setup.md","1132","No","Yes","No","No","No","No"
"Zig\Zig_Formal_Semantics.md","1163","No","Yes","No","No","Yes","No"
"06_Thinking_Representation\03_Decision_Trees\README.md","1195","Yes","Yes","No","No","Yes","No"
"Zig\Zig_Industrial_Cases.md","1212","No","Yes","No","No","Yes","No"
"Zig\Zig_OS_Development.md","1226","No","Yes","No","No","Yes","No"
"Zig\Zig_Game_Development.md","1255","No","Yes","No","No","No","No"
"07_Modern_Toolchain\13_Zig_C_Interop\01_Zig_C_Interoperability.md","1265","No","Yes","No","No","No","No"
"Zig\Zig_C_Interoperability.md","1339","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\10_ISA_Machine_Code\08_RISCV_CPU_Complete\03_RV32IM_with_Cache.md","1370","Yes","Yes","No","No","No","No"
"Zig\Zig_Standard_Library_Deep_Dive.md","1550","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\18_FPGA_Labs\01_Lab1_Basic_Gates.md","1576","Yes","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\18_FPGA_Labs\03_Lab3_Single_Cycle_CPU.md","1610","Yes","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\10_ISA_Machine_Code\06_Control_Unit_Design\02_Microprogrammed_Control.md","1642","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\19_Hardware_Debugging\03_SignalTap_Quartus.md","1659","Yes","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\19_Hardware_Debugging\04_Hardware_Debug_Methodology.md","1809","Yes","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\10_ISA_Machine_Code\08_RISCV_CPU_Complete\02_RV32I_Pipelined.md","1851","Yes","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\18_FPGA_Labs\02_Lab2_ALU_Implementation.md","1859","Yes","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\18_FPGA_Labs\05_Lab5_Cache_Controller.md","1881","Yes","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\09_Physical_Machine_Layer\01_Digital_Logic_Foundations\01_Transistor_Level.md","1884","No","Yes","No","No","No","No"
"Zig\Zig_Complete_Guide.md","2067","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\19_Hardware_Debugging\02_ILA_Integrated_Logic_Analyzer.md","2155","Yes","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\09_Physical_Machine_Layer\01_Digital_Logic_Foundations\03_Combinational_Circuits.md","2185","No","Yes","No","No","No","No"
"00_INDEX.md","2266","No","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\09_Physical_Machine_Layer\01_Digital_Logic_Foundations\02_Logic_Gates_Implementation.md","2336","No","Yes","No","No","No","No"
"01_Core_Knowledge_System\09_Safety_Standards\MISRA_C_2023\tools\02_Helix_QAC_Guide.md","2379","Yes","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\10_ISA_Machine_Code\12_x86_Microarchitecture_Impl.md","2383","Yes","Yes","No","No","No","No"
"02_Formal_Semantics_and_Physics\10_ISA_Machine_Code\11_ARM64_CPU_Implementation.md","2815","Yes","Yes","No","No","No","No"
"07_Modern_Toolchain\03_CI_CD_DevOps\05_Containerized_Embedded_Development.md","4461","Yes","Yes","No","No","No","No"
